variable,source_file,original_column,generated_column,aggregation,description,data_type,missing_values
record_id,survey_intake_raw.csv.gz,record_id,record_id,direct,Variable: record_id,mixed,0
pid,survey_intake_raw.csv.gz,pid,pid,direct,Variable: pid,mixed,0
age,survey_intake_raw.csv.gz,age,age,direct,Variable: age,mixed,0
gender,survey_intake_raw.csv.gz,gender,gender,direct,Variable: gender,mixed,0
country,survey_intake_raw.csv.gz,country,country,direct,Variable: country,mixed,0
cohort,survey_intake_raw.csv.gz,cohort,cohort,direct,Variable: cohort,mixed,0
edu_level,survey_intake_raw.csv.gz,edu_level,edu_level,direct,Variable: edu_level,mixed,0
employment,survey_intake_raw.csv.gz,employment,employment,direct,Variable: employment,mixed,0
marital_status,survey_intake_raw.csv.gz,marital_status,marital_status,direct,Variable: marital_status,mixed,0
height,survey_intake_raw.csv.gz,height,height,direct,Variable: height,mixed,170
weight,survey_intake_raw.csv.gz,weight,weight,direct,Variable: weight,mixed,169
ethnicity,survey_intake_raw.csv.gz,ethnicity,ethnicity,direct,Variable: ethnicity,mixed,0
num_platforms,survey_intake_raw.csv.gz,num_platforms,num_platforms,direct,Variable: num_platforms,mixed,0
self_reported_weekly_play,survey_intake_raw.csv.gz,self_reported_weekly_play,self_reported_weekly_play,direct,Variable: self_reported_weekly_play,mixed,455
plays_xbox,survey_intake_raw.csv.gz,plays_xbox,plays_xbox,direct,Variable: plays_xbox,mixed,2544
plays_steam,survey_intake_raw.csv.gz,plays_steam,plays_steam,direct,Variable: plays_steam,mixed,2544
plays_nintendo,survey_intake_raw.csv.gz,plays_nintendo,plays_nintendo,direct,Variable: plays_nintendo,mixed,2544
plays_ios,survey_intake_raw.csv.gz,plays_ios,plays_ios,direct,Variable: plays_ios,mixed,2544
plays_android,survey_intake_raw.csv.gz,plays_android,plays_android,direct,Variable: plays_android,mixed,2544
plays_playstation,survey_intake_raw.csv.gz,plays_playstation,plays_playstation,direct,Variable: plays_playstation,mixed,2544
neuro_identify,survey_intake_raw.csv.gz,neuro_identify,neuro_identify,direct,Variable: neuro_identify,mixed,2544
neuro_diagnosed,survey_intake_raw.csv.gz,neuro_diagnosed,neuro_diagnosed,direct,Variable: neuro_diagnosed,mixed,2544
neuro_diag_asd,survey_intake_raw.csv.gz,neuro_diag_asd,neuro_diag_asd,direct,Variable: neuro_diag_asd,mixed,2544
neuro_diag_adhd,survey_intake_raw.csv.gz,neuro_diag_adhd,neuro_diag_adhd,direct,Variable: neuro_diag_adhd,mixed,2544
neuro_diag_dyslexia,survey_intake_raw.csv.gz,neuro_diag_dyslexia,neuro_diag_dyslexia,direct,Variable: neuro_diag_dyslexia,mixed,2544
dependents,survey_intake_raw.csv.gz,dependents,dependents,direct,Variable: dependents,mixed,2113
intake_life_sat,survey_intake_raw.csv.gz,intake_life_sat,intake_life_sat,direct,Variable: intake_life_sat,mixed,2544
intake_affective_valence,survey_intake_raw.csv.gz,intake_affective_valence,intake_affective_valence,direct,Variable: intake_affective_valence,mixed,2544
intake_wemwbs_1,survey_intake_raw.csv.gz,intake_wemwbs_1,intake_wemwbs_1,direct,Variable: intake_wemwbs_1,mixed,2544
intake_wemwbs_2,survey_intake_raw.csv.gz,intake_wemwbs_2,intake_wemwbs_2,direct,Variable: intake_wemwbs_2,mixed,2544
intake_wemwbs_3,survey_intake_raw.csv.gz,intake_wemwbs_3,intake_wemwbs_3,direct,Variable: intake_wemwbs_3,mixed,2544
intake_wemwbs_4,survey_intake_raw.csv.gz,intake_wemwbs_4,intake_wemwbs_4,direct,Variable: intake_wemwbs_4,mixed,2544
intake_wemwbs_5,survey_intake_raw.csv.gz,intake_wemwbs_5,intake_wemwbs_5,direct,Variable: intake_wemwbs_5,mixed,2544
intake_wemwbs_6,survey_intake_raw.csv.gz,intake_wemwbs_6,intake_wemwbs_6,direct,Variable: intake_wemwbs_6,mixed,2544
intake_wemwbs_7,survey_intake_raw.csv.gz,intake_wemwbs_7,intake_wemwbs_7,direct,Variable: intake_wemwbs_7,mixed,2544
gdt_total,survey_biweekly_raw.csv.gz,gdt_total,gdt_total,sum,Variable: gdt_total,mixed,948
promis_total,survey_biweekly_raw.csv.gz,promis_total,promis_total,sum,Variable: promis_total,mixed,882
wemwbs_total,survey_biweekly_raw.csv.gz,wemwbs_total,wemwbs_total,sum,Variable: wemwbs_total,mixed,872
bangs_total,survey_biweekly_raw.csv.gz,bangs_total,bangs_total,sum,Variable: bangs_total,mixed,835
telem_nocturnal_sessions,derived_telemetry,telem_nocturnal_sessions,telem_nocturnal_sessions,aggregated,Variable: telem_nocturnal_sessions,mixed,0
telem_total_sessions,derived_telemetry,telem_total_sessions,telem_total_sessions,aggregated,Variable: telem_total_sessions,mixed,0
steam_playtime_2weeks_min,telemetry_steam_raw.csv.gz,steam_playtime_2weeks_min,steam_playtime_2weeks_min,aggregated,Variable: steam_playtime_2weeks_min,mixed,505
bw_gdt_1,survey_biweekly_raw.csv.gz,gdt_1,bw_gdt_1,first_wave,Variable: bw_gdt_1,mixed,948
bw_gdt_2,survey_biweekly_raw.csv.gz,gdt_2,bw_gdt_2,first_wave,Variable: bw_gdt_2,mixed,948
bw_gdt_3,survey_biweekly_raw.csv.gz,gdt_3,bw_gdt_3,first_wave,Variable: bw_gdt_3,mixed,948
bw_gdt_4,survey_biweekly_raw.csv.gz,gdt_4,bw_gdt_4,first_wave,Variable: bw_gdt_4,mixed,948
bw_promis_1,survey_biweekly_raw.csv.gz,promis_1,bw_promis_1,first_wave,Variable: bw_promis_1,mixed,882
bw_promis_2,survey_biweekly_raw.csv.gz,promis_2,bw_promis_2,first_wave,Variable: bw_promis_2,mixed,882
bw_promis_3,survey_biweekly_raw.csv.gz,promis_3,bw_promis_3,first_wave,Variable: bw_promis_3,mixed,882
bw_promis_4,survey_biweekly_raw.csv.gz,promis_4,bw_promis_4,first_wave,Variable: bw_promis_4,mixed,882
bw_promis_5,survey_biweekly_raw.csv.gz,promis_5,bw_promis_5,first_wave,Variable: bw_promis_5,mixed,882
bw_promis_6,survey_biweekly_raw.csv.gz,promis_6,bw_promis_6,first_wave,Variable: bw_promis_6,mixed,882
bw_promis_7,survey_biweekly_raw.csv.gz,promis_7,bw_promis_7,first_wave,Variable: bw_promis_7,mixed,882
bw_promis_8,survey_biweekly_raw.csv.gz,promis_8,bw_promis_8,first_wave,Variable: bw_promis_8,mixed,882
bw_wemwbs_1,survey_biweekly_raw.csv.gz,wemwbs_1,bw_wemwbs_1,first_wave,Variable: bw_wemwbs_1,mixed,872
bw_wemwbs_2,survey_biweekly_raw.csv.gz,wemwbs_2,bw_wemwbs_2,first_wave,Variable: bw_wemwbs_2,mixed,872
bw_wemwbs_3,survey_biweekly_raw.csv.gz,wemwbs_3,bw_wemwbs_3,first_wave,Variable: bw_wemwbs_3,mixed,872
bw_wemwbs_4,survey_biweekly_raw.csv.gz,wemwbs_4,bw_wemwbs_4,first_wave,Variable: bw_wemwbs_4,mixed,872
bw_wemwbs_5,survey_biweekly_raw.csv.gz,wemwbs_5,bw_wemwbs_5,first_wave,Variable: bw_wemwbs_5,mixed,872
bw_wemwbs_6,survey_biweekly_raw.csv.gz,wemwbs_6,bw_wemwbs_6,first_wave,Variable: bw_wemwbs_6,mixed,872
bw_wemwbs_7,survey_biweekly_raw.csv.gz,wemwbs_7,bw_wemwbs_7,first_wave,Variable: bw_wemwbs_7,mixed,872
android_days_with_data,telemetry_android_raw.csv.gz,android_days_with_data,android_days_with_data,aggregated,Variable: android_days_with_data,mixed,2471
android_mean_daily_minutes,telemetry_android_raw.csv.gz,android_mean_daily_minutes,android_mean_daily_minutes,aggregated,Variable: android_mean_daily_minutes,mixed,2471
android_total_minutes,telemetry_android_raw.csv.gz,android_total_minutes,android_total_minutes,aggregated,Variable: android_total_minutes,mixed,2471
bw_affective_valence,survey_biweekly_raw.csv.gz,affective_valence,bw_affective_valence,first_wave,Variable: bw_affective_valence,mixed,781
bw_bangs_1,survey_biweekly_raw.csv.gz,bangs_1,bw_bangs_1,first_wave,Variable: bw_bangs_1,mixed,835
bw_bangs_10,survey_biweekly_raw.csv.gz,bangs_10,bw_bangs_10,first_wave,Variable: bw_bangs_10,mixed,835
bw_bangs_11,survey_biweekly_raw.csv.gz,bangs_11,bw_bangs_11,first_wave,Variable: bw_bangs_11,mixed,835
bw_bangs_12,survey_biweekly_raw.csv.gz,bangs_12,bw_bangs_12,first_wave,Variable: bw_bangs_12,mixed,835
bw_bangs_13,survey_biweekly_raw.csv.gz,bangs_13,bw_bangs_13,first_wave,Variable: bw_bangs_13,mixed,835
bw_bangs_14,survey_biweekly_raw.csv.gz,bangs_14,bw_bangs_14,first_wave,Variable: bw_bangs_14,mixed,835
bw_bangs_15,survey_biweekly_raw.csv.gz,bangs_15,bw_bangs_15,first_wave,Variable: bw_bangs_15,mixed,835
bw_bangs_16,survey_biweekly_raw.csv.gz,bangs_16,bw_bangs_16,first_wave,Variable: bw_bangs_16,mixed,835
bw_bangs_17,survey_biweekly_raw.csv.gz,bangs_17,bw_bangs_17,first_wave,Variable: bw_bangs_17,mixed,835
bw_bangs_18,survey_biweekly_raw.csv.gz,bangs_18,bw_bangs_18,first_wave,Variable: bw_bangs_18,mixed,835
bw_bangs_2,survey_biweekly_raw.csv.gz,bangs_2,bw_bangs_2,first_wave,Variable: bw_bangs_2,mixed,835
bw_bangs_3,survey_biweekly_raw.csv.gz,bangs_3,bw_bangs_3,first_wave,Variable: bw_bangs_3,mixed,835
bw_bangs_4,survey_biweekly_raw.csv.gz,bangs_4,bw_bangs_4,first_wave,Variable: bw_bangs_4,mixed,835
bw_bangs_5,survey_biweekly_raw.csv.gz,bangs_5,bw_bangs_5,first_wave,Variable: bw_bangs_5,mixed,835
bw_bangs_6,survey_biweekly_raw.csv.gz,bangs_6,bw_bangs_6,first_wave,Variable: bw_bangs_6,mixed,835
bw_bangs_7,survey_biweekly_raw.csv.gz,bangs_7,bw_bangs_7,first_wave,Variable: bw_bangs_7,mixed,835
bw_bangs_8,survey_biweekly_raw.csv.gz,bangs_8,bw_bangs_8,first_wave,Variable: bw_bangs_8,mixed,835
bw_bangs_9,survey_biweekly_raw.csv.gz,bangs_9,bw_bangs_9,first_wave,Variable: bw_bangs_9,mixed,835
bw_bfi_2_xs_1,survey_biweekly_raw.csv.gz,bfi_2_xs_1,bw_bfi_2_xs_1,first_wave,Variable: bw_bfi_2_xs_1,mixed,2544
bw_bfi_2_xs_10,survey_biweekly_raw.csv.gz,bfi_2_xs_10,bw_bfi_2_xs_10,first_wave,Variable: bw_bfi_2_xs_10,mixed,2544
bw_bfi_2_xs_11,survey_biweekly_raw.csv.gz,bfi_2_xs_11,bw_bfi_2_xs_11,first_wave,Variable: bw_bfi_2_xs_11,mixed,2544
bw_bfi_2_xs_12,survey_biweekly_raw.csv.gz,bfi_2_xs_12,bw_bfi_2_xs_12,first_wave,Variable: bw_bfi_2_xs_12,mixed,2544
bw_bfi_2_xs_13,survey_biweekly_raw.csv.gz,bfi_2_xs_13,bw_bfi_2_xs_13,first_wave,Variable: bw_bfi_2_xs_13,mixed,2544
bw_bfi_2_xs_14,survey_biweekly_raw.csv.gz,bfi_2_xs_14,bw_bfi_2_xs_14,first_wave,Variable: bw_bfi_2_xs_14,mixed,2544
bw_bfi_2_xs_15,survey_biweekly_raw.csv.gz,bfi_2_xs_15,bw_bfi_2_xs_15,first_wave,Variable: bw_bfi_2_xs_15,mixed,2544
bw_bfi_2_xs_2,survey_biweekly_raw.csv.gz,bfi_2_xs_2,bw_bfi_2_xs_2,first_wave,Variable: bw_bfi_2_xs_2,mixed,2544
